,population,newborn,child_mortality,poverty_percent,poverty_children,poverty_pensioners,poverty_labouring,per_capita_cash_income,real_income,formal_wage_paid,real_pay,disabled_by_age,all_disease,mental_disorder,food_disorder,disease_alco,disease_drug,gross_product,regional_prod,retail_turnover,welfare_expense,housing_constraints,housing_area_per_person,no_improvement_funds,improvement_without_complaints,group_crimes,domestic_violence,foreign_crimes,registered_crimes,crimes_severe,crimes_heavy,crimes_theft,crimes_drugs,ophans,poor_pensioner,unemployment,min_living_cost
Краснодарский край,5687378.0,59168.99,248.0,10.4,39.3,6.9,53.8,36838.0,100.4,38499.0,103.2,155490.0,306462.2,926.5,4826.799999999999,18.3,3.9,460720.2,2174703791.66,335663.0,25.7,3.7,18.1,5.2,9.2,1683.0,2004.0,444.0,11167.0,342.0,1816.0,5659.0,1346.0,0.01,19.0,3.6,11190.25
Красноярский край,2849169.0,28515.0,158.0,17.0,35.8,4.8,59.4,32832.0,99.8,54426.0,105.5,76142.0,346056.1,2420.3,5755.0,69.1,14.9,951613.7,5142342706.32,222969.0,24.8,3.8,16.6,7.1,10.099999999999998,845.0,1878.0,196.0,9357.0,451.0,1551.0,4673.0,843.0,0.28,18.4,2.7,13050.5
Курганская область,805510.0,7223.0,38.0,19.3,39.4,2.4,58.2,21860.0,97.8,33182.0,104.3,24546.0,459438.5,6165.7,12586.1,77.8,22.5,294464.0,299284955.92,163801.0,26.1,3.9,16.7,0.5,19.0,835.0,1024.0,203.0,3751.0,566.0,609.0,1328.0,581.0,0.15,13.2,6.3,10373.75
Курская область,1083584.0,8806.0,33.0,9.9,34.2,6.5,59.2,29786.0,97.8,35805.0,105.3,48412.0,283373.6,2562.1000000000004,4542.4,51.3,5.2,487030.7,757670943.0,238933.0,23.2,1.7,17.1,4.6,10.3,330.0,483.0,74.0,2607.0,115.0,397.0,1226.0,156.0,0.12,9.1,2.9,10200.5
Ленинградская область,1911586.0,13079.0,47.0,8.7,19.0,17.0,64.1,33149.0,100.8,48286.0,101.1,36125.0,351663.1,2721.2999999999997,4022.4,35.3,8.6,661328.6,2594670989.6,298432.0,16.7,4.5,17.0,31.400000000000002,5.199999999999999,659.0,572.0,299.0,3130.0,260.0,608.0,1519.0,328.0,0.19,6.9,3.4,11191.75
Липецкая область,1113680.0,8993.0,33.0,8.4,40.0,0.8,59.3,32226.0,94.9,36790.0,103.3,36943.0,291916.5,2596.0,1909.0,68.6,5.7,546151.3,1558564055.6,272834.0,22.3,4.0,16.5,5.9,7.0,284.0,549.0,96.0,2755.0,69.0,366.0,1458.0,287.0,0.1,1.3,3.7,9761.5
Магаданская область,137767.0,1195.0,7.0,8.7,45.8,0.0,54.2,70864.0,104.3,102843.0,105.0,2487.0,313186.4,2233.4,3941.0,127.0,6.2,2035007.0,535550597.54,289171.0,11.1,4.1,13.8,0.0,4.799999999999999,64.0,78.0,16.0,438.0,43.0,78.0,142.0,47.0,0.75,22.0,4.1,20629.25
Москва,12635466.0,131444.97,468.0,6.0,38.4,13.2,48.5,77283.0,100.2,100070.0,103.1,261554.0,357384.6,1723.1999999999998,4067.5,23.1,8.7,1567644.8,19562414444.0,477554.0,17.5,5.3,13.8,32.0,4.600000000000001,7393.0,655.0,4229.0,10240.0,534.0,3430.0,6578.0,1030.0,0.05,11.4,2.3,17684.75
Московская область,7768878.0,73520.98999999999,278.0,6.8,49.9,5.7,44.4,47046.0,97.8,58066.0,101.8,139900.0,351374.6,2135.3,2959.0,37.7,11.0,683845.1,7046755371.52,422211.0,19.4,4.4,14.8,8.7,4.9,2390.0,1961.0,3302.0,12655.0,606.0,2320.0,6140.0,1207.0,0.03,17.1,3.1,13198.5
Мурманская область,724452.0,6032.99,37.0,10.1,43.7,0.4,55.8,46355.0,100.4,69135.0,105.1,11548.0,470333.8,1924.5,7735.299999999999,48.3,6.2,1072337.1,2018215171.98,262676.0,22.8,3.7,17.7,10.100000000000001,10.3,159.0,447.0,48.0,2109.0,97.0,293.0,1199.0,155.0,0.16,4.5,4.7,17718.25
